n,positives,negatives,tp,tn,fp,fn,sensitivity,specificity,balanced_accuracy,MCC,accuracy,positive_predictive_value,negative_predictive_value,replicate
36,11,25,9,6,19,2,0.8181818181818182,0.24,0.5290909090909091,0.06446583712203043,0.4166666666666667,0.32142857142857145,0.75,0
24,10,14,9,0,14,1,0.9,0.0,0.45,-0.24671758189758447,0.375,0.391304347826087,0.0,1
31,10,21,9,2,19,1,0.9,0.09523809523809523,0.4976190476190476,-0.007529232524210427,0.3548387096774194,0.32142857142857145,0.6666666666666666,2
13,7,6,4,0,6,3,0.5714285714285714,0.0,0.2857142857142857,-0.50709255283711,0.3076923076923077,0.4,0.0,3
33,9,24,8,4,20,1,0.8888888888888888,0.16666666666666666,0.5277777777777778,0.06900655593423542,0.36363636363636365,0.2857142857142857,0.8,4
22,8,14,8,2,12,0,1.0,0.14285714285714285,0.5714285714285714,0.23904572186687872,0.45454545454545453,0.4,1.0,5
22,11,11,9,2,9,2,0.8181818181818182,0.18181818181818182,0.5,0.0,0.5,0.5,0.5,6
25,6,19,5,2,17,1,0.8333333333333334,0.10526315789473684,0.4692982456140351,-0.08070002078437537,0.28,0.22727272727272727,0.6666666666666666,7
18,10,8,10,0,8,0,1.0,0.0,0.5,,0.5555555555555556,0.5555555555555556,,8
30,10,20,10,0,20,0,1.0,0.0,0.5,,0.3333333333333333,0.3333333333333333,,9
28,11,17,11,4,13,0,1.0,0.23529411764705882,0.6176470588235294,0.3283947887145927,0.5357142857142857,0.4583333333333333,1.0,10
55,11,44,9,4,40,2,0.8181818181818182,0.09090909090909091,0.4545454545454546,-0.11664236870396086,0.23636363636363636,0.1836734693877551,0.6666666666666666,11
23,9,14,7,2,12,2,0.7777777777777778,0.14285714285714285,0.46031746031746035,-0.10218988991416098,0.391304347826087,0.3684210526315789,0.5,12
28,8,20,8,2,18,0,1.0,0.1,0.55,0.17541160386140586,0.35714285714285715,0.3076923076923077,1.0,13
42,10,32,8,6,26,2,0.8,0.1875,0.49375,-0.01355815361366601,0.3333333333333333,0.23529411764705882,0.75,14
30,11,19,11,2,17,0,1.0,0.10526315789473684,0.5526315789473684,0.2033553133277973,0.43333333333333335,0.39285714285714285,1.0,15
25,10,15,10,2,13,0,1.0,0.13333333333333333,0.5666666666666667,0.24077170617153842,0.48,0.43478260869565216,1.0,16
32,9,23,8,0,23,1,0.8888888888888888,0.0,0.4444444444444444,-0.28711892307136966,0.25,0.25806451612903225,0.0,17
33,10,23,8,4,19,2,0.8,0.17391304347826086,0.48695652173913045,-0.03108349360801046,0.36363636363636365,0.2962962962962963,0.6666666666666666,18
37,11,26,10,2,24,1,0.9090909090909091,0.07692307692307693,0.493006993006993,-0.023419460640809617,0.32432432432432434,0.29411764705882354,0.6666666666666666,19
12,8,4,8,0,4,0,1.0,0.0,0.5,,0.6666666666666666,0.6666666666666666,,20
50,8,42,7,6,36,1,0.875,0.14285714285714285,0.5089285714285714,0.018866805135549083,0.26,0.16279069767441862,0.8571428571428571,21
24,9,15,9,0,15,0,1.0,0.0,0.5,,0.375,0.375,,22
24,10,14,8,2,12,2,0.8,0.14285714285714285,0.4714285714285714,-0.07559289460184544,0.4166666666666667,0.4,0.5,23
28,12,16,10,2,14,2,0.8333333333333334,0.125,0.4791666666666667,-0.05892556509887897,0.42857142857142855,0.4166666666666667,0.5,24
23,7,16,7,2,14,0,1.0,0.125,0.5625,0.20412414523193148,0.391304347826087,0.3333333333333333,1.0,25
21,11,10,9,0,10,2,0.8181818181818182,0.0,0.4090909090909091,-0.309344112444873,0.42857142857142855,0.47368421052631576,0.0,26
31,7,24,7,4,20,0,1.0,0.16666666666666666,0.5833333333333334,0.20786985482077452,0.3548387096774194,0.25925925925925924,1.0,27
37,7,30,7,2,28,0,1.0,0.06666666666666667,0.5333333333333333,0.11547005383792516,0.24324324324324326,0.2,1.0,28
23,7,16,4,2,14,3,0.5714285714285714,0.125,0.3482142857142857,-0.3386481059780782,0.2608695652173913,0.2222222222222222,0.4,29
30,10,20,9,0,20,1,0.9,0.0,0.45,-0.2626128657194451,0.3,0.3103448275862069,0.0,30
30,10,20,8,0,20,2,0.8,0.0,0.4,-0.37796447300922725,0.26666666666666666,0.2857142857142857,0.0,31
36,8,28,7,2,26,1,0.875,0.07142857142857142,0.4732142857142857,-0.08058229640253803,0.25,0.21212121212121213,0.6666666666666666,32
40,10,30,9,6,24,1,0.9,0.2,0.55,0.11396057645963793,0.375,0.2727272727272727,0.8571428571428571,33
34,9,25,7,4,21,2,0.7777777777777778,0.16,0.4688888888888889,-0.07200822998230956,0.3235294117647059,0.25,0.6666666666666666,34
26,6,20,5,0,20,1,0.8333333333333334,0.0,0.4166666666666667,-0.3651483716701107,0.19230769230769232,0.2,0.0,35
35,9,26,5,2,24,4,0.5555555555555556,0.07692307692307693,0.3162393162393162,-0.426202407305871,0.2,0.1724137931034483,0.3333333333333333,36
47,8,39,8,6,33,0,1.0,0.15384615384615385,0.5769230769230769,0.173259232729684,0.2978723404255319,0.1951219512195122,1.0,37
37,14,23,14,4,19,0,1.0,0.17391304347826086,0.5869565217391304,0.2716271178888358,0.4864864864864865,0.42424242424242425,1.0,38
32,8,24,8,2,22,0,1.0,0.08333333333333333,0.5416666666666666,0.14907119849998599,0.3125,0.26666666666666666,1.0,39
26,9,17,8,0,17,1,0.8888888888888888,0.0,0.4444444444444444,-0.2748737083745107,0.3076923076923077,0.32,0.0,40
37,6,31,6,4,27,0,1.0,0.12903225806451613,0.564516129032258,0.1531679162134967,0.2702702702702703,0.18181818181818182,1.0,41
39,10,29,9,4,25,1,0.9,0.13793103448275862,0.5189655172413793,0.04954150840221495,0.3333333333333333,0.2647058823529412,0.8,42
35,8,27,7,2,25,1,0.875,0.07407407407407407,0.47453703703703703,-0.0763888888888889,0.2571428571428571,0.21875,0.6666666666666666,43
36,9,27,9,2,25,0,1.0,0.07407407407407407,0.537037037037037,0.14002800840280097,0.3055555555555556,0.2647058823529412,1.0,44
36,12,24,11,2,22,1,0.9166666666666666,0.08333333333333333,0.5,0.0,0.3611111111111111,0.3333333333333333,0.6666666666666666,45
25,9,16,9,2,14,0,1.0,0.125,0.5625,0.2211629342323457,0.44,0.391304347826087,1.0,46
20,12,8,12,2,6,0,1.0,0.25,0.625,0.408248290463863,0.7,0.6666666666666666,1.0,47
17,9,8,9,0,8,0,1.0,0.0,0.5,,0.5294117647058824,0.5294117647058824,,48
