design,phage,spearman,r2,mae
random_kfold,p11,0.44760860674345543,0.042117910098549594,0.19400596418880378
random_kfold,p0006,0.4772349266550784,0.19121719430517536,0.13601563958452625
random_kfold,p0017,0.45800752607087525,0.07079493265204706,0.2163969578647306
random_kfold,p0017S,0.4099745186410534,0.07248027116700384,0.07946416881464484
random_kfold,p002y,0.3909510727661369,0.20249384177359164,0.07202635116142281
random_kfold,p003p,0.45905316557442793,0.20353288586202478,0.07357157021713125
random_kfold,p0040,0.494852213444184,0.0979270470869108,0.1782153074427373
random_kfold,pyo,0.517543710414495,0.17759218398511056,0.07830729966184242
outcome_stratified_kfold,p11,0.45907960827129973,0.05271629971220182,0.18965613155409858
outcome_stratified_kfold,p0006,0.48835447720668546,0.17899764055932887,0.13567008718591012
outcome_stratified_kfold,p0017,0.4801211264267726,0.1431290552103669,0.20960639767015452
outcome_stratified_kfold,p0017S,0.4535522398604787,0.11237309567810416,0.07807418637760917
outcome_stratified_kfold,p002y,0.3639675421593404,0.1443157732250272,0.07329519139438213
outcome_stratified_kfold,p003p,0.4208956950572161,0.14321868929502124,0.07432009920583943
outcome_stratified_kfold,p0040,0.4919125738253342,0.06844469153078181,0.1793119997485402
outcome_stratified_kfold,pyo,0.5466813822414198,0.19666891797468,0.07539697081252758
complete_cc_holdout,p11,0.1361636299419176,-0.49180093463215657,0.2403269041166775
complete_cc_holdout,p0006,0.2472768141434017,-0.0654887677289917,0.16542246190559437
complete_cc_holdout,p0017,0.06212869128755646,-0.29431886977787336,0.2713641329603249
complete_cc_holdout,p0017S,0.30560105507498,-0.02755998780415636,0.08767364129143027
complete_cc_holdout,p002y,0.21232659731447834,-0.24385708866879563,0.09105593027212242
complete_cc_holdout,p003p,0.2193369234736925,-0.18686068954548785,0.09200035639850215
complete_cc_holdout,p0040,-0.03677774721106103,-0.5205157060674062,0.2526256530102997
complete_cc_holdout,pyo,0.37291680745470934,-0.06335593069282464,0.09303129400022077
