cc,phage,n_x,mean_od600,sd_od600,S_fraction,SS_fraction,R_fraction,n_y,mean_broad_permissiveness,sd_broad_permissiveness
1,p0006,12,0.34494722225,0.12773400662420545,0.6666666666666666,0.3333333333333333,0.0,12,0.4989203923965326,0.26248137983985076
1,p0017,12,0.34096875000000004,0.168406664486016,0.8333333333333334,0.08333333333333333,0.08333333333333333,12,0.4989203923965326,0.26248137983985076
1,p0017S,12,0.1940416666666667,0.038245451633580764,1.0,0.0,0.0,12,0.4989203923965326,0.26248137983985076
1,p002y,12,0.196025,0.03804830213629177,1.0,0.0,0.0,12,0.4989203923965326,0.26248137983985076
1,p003p,12,0.18926666658333335,0.03330158191525721,1.0,0.0,0.0,12,0.4989203923965326,0.26248137983985076
1,p0040,12,0.5136583333333333,0.22846945397911544,0.4166666666666667,0.3333333333333333,0.25,12,0.4989203923965326,0.26248137983985076
1,p11,12,0.7831604166666667,0.2667773133878647,0.08333333333333333,0.25,0.6666666666666666,12,0.4989203923965326,0.26248137983985076
1,pyo,12,0.20132407416666667,0.04923132753779783,1.0,0.0,0.0,12,0.4989203923965326,0.26248137983985076
10,p0006,2,0.59415,0.530259375211792,0.5,0.0,0.5,2,0.20548003373590173,0.39560677746175504
10,p0017,2,0.1879166665,0.03193765651929465,1.0,0.0,0.0,2,0.20548003373590173,0.39560677746175504
10,p0017S,2,0.1672,0.007495331880577403,1.0,0.0,0.0,2,0.20548003373590173,0.39560677746175504
10,p002y,2,0.2529,0.09475230867899738,1.0,0.0,0.0,2,0.20548003373590173,0.39560677746175504
10,p003p,2,0.23074999999999998,0.09948992411294723,1.0,0.0,0.0,2,0.20548003373590173,0.39560677746175504
10,p0040,2,0.6592,0.11242997820866107,0.0,0.5,0.5,2,0.20548003373590173,0.39560677746175504
10,p11,2,0.8803000000000001,0.003252691193458153,0.0,0.0,1.0,2,0.20548003373590173,0.39560677746175504
10,pyo,2,0.21799999999999997,0.08312433081375492,1.0,0.0,0.0,2,0.20548003373590173,0.39560677746175504
12,p0006,1,0.2763,,1.0,0.0,0.0,1,-0.1017499452089289,
12,p0017,1,0.827666667,,0.0,0.0,1.0,1,-0.1017499452089289,
