design,cc,phage,mae
complete_cc_holdout,1,p0006,0.18471755912689347
complete_cc_holdout,1,p0017,0.3212718457726107
complete_cc_holdout,1,p0017S,0.13214147928468808
complete_cc_holdout,1,p002y,0.09393915307979175
complete_cc_holdout,1,p003p,0.1034396365362426
complete_cc_holdout,1,p0040,0.22914457934637897
complete_cc_holdout,1,p11,0.2523407325435461
complete_cc_holdout,1,pyo,0.11906758310012977
complete_cc_holdout,10,p0006,0.2661117504390027
complete_cc_holdout,10,p0017,0.6140042334687198
complete_cc_holdout,10,p0017S,0.188372358576576
complete_cc_holdout,10,p002y,0.07316418111104893
complete_cc_holdout,10,p003p,0.08788468998402472
complete_cc_holdout,10,p0040,0.21706826645224103
complete_cc_holdout,10,p11,0.12633425442539392
complete_cc_holdout,10,pyo,0.18617938222274888
complete_cc_holdout,121,p0006,0.23935307695553823
complete_cc_holdout,121,p0017,0.36749342866422746
complete_cc_holdout,121,p0017S,0.08061353176105308
complete_cc_holdout,121,p002y,0.1650064939068615
complete_cc_holdout,121,p003p,0.1431985244455988
complete_cc_holdout,121,p0040,0.22172072808337284
complete_cc_holdout,121,p11,0.15606918597735445
complete_cc_holdout,121,pyo,0.18153065282566527
complete_cc_holdout,15,p0006,0.11673680869062272
complete_cc_holdout,15,p0017,0.29803416477781397
complete_cc_holdout,15,p0017S,0.03428166207511048
complete_cc_holdout,15,p002y,0.026324935579904243
complete_cc_holdout,15,p003p,0.03991409879548857
complete_cc_holdout,15,p0040,0.48485006352808224
complete_cc_holdout,15,p11,0.23242933417937062
complete_cc_holdout,15,pyo,0.12062037949770262
complete_cc_holdout,22,p0006,0.1512776570967199
complete_cc_holdout,22,p0017,0.2222730336027007
complete_cc_holdout,22,p0017S,0.04596925611443125
complete_cc_holdout,22,p002y,0.1118359630032778
complete_cc_holdout,22,p003p,0.10559690772367297
complete_cc_holdout,22,p0040,0.2907467897977407
complete_cc_holdout,22,p11,0.23030803992230203
complete_cc_holdout,22,pyo,0.045121790003241236
complete_cc_holdout,25,p0006,0.16974437485671295
complete_cc_holdout,25,p0017,0.25195655453051413
complete_cc_holdout,25,p0017S,0.06303970422283396
complete_cc_holdout,25,p002y,0.09985989726127309
complete_cc_holdout,25,p003p,0.0569463634086296
complete_cc_holdout,25,p0040,0.2269643082459985
complete_cc_holdout,25,p11,0.2457468068810015
complete_cc_holdout,25,pyo,0.15789897686356086
complete_cc_holdout,30,p0006,0.26309502603184987
complete_cc_holdout,30,p0017,0.19582765011440262
complete_cc_holdout,30,p0017S,0.1096915675451875
complete_cc_holdout,30,p002y,0.1328599207325679
complete_cc_holdout,30,p003p,0.12865703700312525
complete_cc_holdout,30,p0040,0.25494409843426596
complete_cc_holdout,30,p11,0.16946636435293688
complete_cc_holdout,30,pyo,0.08753801292648707
complete_cc_holdout,398,p0006,0.3947500384514231
complete_cc_holdout,398,p0017,0.167141452121094
complete_cc_holdout,398,p0017S,0.14633786981524266
complete_cc_holdout,398,p002y,0.1761806053024543
complete_cc_holdout,398,p003p,0.255692226144792
complete_cc_holdout,398,p0040,0.2988689511011738
complete_cc_holdout,398,p11,0.22372235794390938
complete_cc_holdout,398,pyo,0.293777434160595
