row,biosample
0,SAMN02649746
1,SAMN02649748
2,SAMN02649749
3,SAMN02649750
4,SAMN02649751
5,SAMN02649752
6,SAMN02649753
7,SAMN02649754
8,SAMN02649755
9,SAMN02649756
10,SAMN02649757
11,SAMN02649758
12,SAMN02649759
13,SAMN02649760
14,SAMN02649761
15,SAMN02649762
16,SAMN02649763
17,SAMN02649764
18,SAMN02649765
19,SAMN02649766
20,SAMN02649767
21,SAMN02649769
22,SAMN02649770
23,SAMN02649771
24,SAMN02649772
25,SAMN02649773
26,SAMN02649774
27,SAMN02649775
28,SAMN02649776
29,SAMN02649777
30,SAMN02649778
31,SAMN02649779
32,SAMN02649780
33,SAMN02649781
34,SAMN02649782
35,SAMN02649783
36,SAMN02649784
37,SAMN02649785
38,SAMN02649786
39,SAMN02649787
40,SAMN02649788
41,SAMN02649789
42,SAMN02649790
43,SAMN02649791
44,SAMN02649792
45,SAMN02649793
46,SAMN02649794
47,SAMN02649795
48,SAMN02649796
49,SAMN02649797
50,SAMN02649798
51,SAMN02649799
52,SAMN02649800
53,SAMN02649801
54,SAMN02649802
55,SAMN02649803
56,SAMN02649804
57,SAMN02649805
58,SAMN02649806
59,SAMN02649807
60,SAMN02649808
61,SAMN02649809
62,SAMN02649810
63,SAMN02649811
64,SAMN02649812
65,SAMN02649813
66,SAMN02649814
67,SAMN02649815
68,SAMN03859721
69,SAMN03859722
70,SAMN03859723
71,SAMN03859724
72,SAMN03859727
73,SAMN03859728
74,SAMN03859729
75,SAMN03859732
76,SAMN03859735
77,SAMN03859736
78,SAMN03859737
79,SAMN03859738
80,SAMN03859740
81,SAMN03859741
82,SAMN03859743
83,SAMN03859744
84,SAMN03859745
85,SAMN03859747
86,SAMN03859748
87,SAMN03859752
88,SAMN03859753
89,SAMN03859755
90,SAMN03859756
91,SAMN03859757
92,SAMN03859758
93,SAMN03859759
94,SAMN03859760
95,SAMN03859761
96,SAMN03859762
97,SAMN03859763
98,SAMN03859765
99,SAMN03859766
100,SAMN03859767
101,SAMN03859769
102,SAMN03859770
103,SAMN03859774
104,SAMN03859775
105,SAMN03859776
106,SAMN03859777
107,SAMN03859778
108,SAMN03859783
109,SAMN03859784
110,SAMN03859785
111,SAMN03859786
112,SAMN03859787
113,SAMN03859789
114,SAMN03859790
115,SAMN03859792
116,SAMN03859793
117,SAMN03859794
118,SAMN03859795
119,SAMN03859796
120,SAMN03859797
121,SAMN03859798
122,SAMN03859799
123,SAMN03859800
124,SAMN03859801
125,SAMN03859802
126,SAMN03859803
127,SAMN03859805
128,SAMN03859806
129,SAMN03859807
130,SAMN03859808
131,SAMN03859809
132,SAMN03859813
133,SAMN03859814
134,SAMN03859815
135,SAMN03859816
136,SAMN03859817
137,SAMN03859818
138,SAMN03859819
139,SAMN03859820
140,SAMN03859821
141,SAMN03859824
142,SAMN03859826
143,SAMN03859829
144,SAMN03859830
145,SAMN03859831
146,SAMN03859833
147,SAMN03859838
148,SAMN03859839
149,SAMN03859840
150,SAMN04244164
151,SAMN04244165
152,SAMN04244166
153,SAMN09847804
154,SAMN09847805
155,SAMN09847806
156,SAMN09847807
157,SAMN09847808
158,SAMN09847809
159,SAMN09847810
160,SAMN09847811
161,SAMN09847812
162,SAMN09847813
163,SAMN09847814
164,SAMN09847815
165,SAMN09847816
166,SAMN09847817
167,SAMN09847818
168,SAMN09847819
169,SAMN09847820
170,SAMN09847821
171,SAMN09847822
172,SAMN09847823
173,SAMN09847824
174,SAMN09847825
175,SAMN09847826
176,SAMN09847827
177,SAMN09847828
178,SAMN09847829
179,SAMN09847830
180,SAMN09847831
181,SAMN09847832
182,SAMN09847833
183,SAMN09847834
184,SAMN09847835
185,SAMN09847836
186,SAMN09847837
187,SAMN09847838
188,SAMN09847839
189,SAMN09847840
190,SAMN09847841
191,SAMN09847842
192,SAMN09847843
193,SAMN09847844
194,SAMN09847845
195,SAMN09847846
196,SAMN09847847
197,SAMN09847848
198,SAMN09847849
199,SAMN09847850
200,SAMN09847851
201,SAMN09847852
202,SAMN09847853
203,SAMN09847854
204,SAMN09847855
205,SAMN09847856
206,SAMN09847857
207,SAMN09847858
208,SAMN09847859
209,SAMN09847860
210,SAMN09847861
211,SAMN09847862
212,SAMN09847863
213,SAMN09847864
214,SAMN09847865
215,SAMN09847866
216,SAMN09847867
