host_id,biosample,host_genome_accession,phage_id,phage_genome_accession,assay_type,assay_value,susceptible_primary,observed,cc,replicates
13S44S9EO,SAMN31484028,SAMN31484028,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC8,4
83254,SAMN31484033,SAMN31484033,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC8,6
AR03918O1,SAMN31484034,SAMN31484034,ISP,NC_047720.1,ST_Bin,0.0,0,True,unknown,6
AR05618O1,SAMN31484036,SAMN31484036,ISP,NC_047720.1,ST_Bin,1.0,1,True,unknown,4
AR05S1,SAMN31484035,SAMN31484035,ISP,NC_047720.1,ST_Bin,0.0,0,True,unknown,6
ASARM61,SAMN31484037,SAMN31484037,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC22,6
ASARM70,SAMN31484038,SAMN31484038,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC22,5
ASARM71,SAMN31484039,SAMN31484039,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC22,5
ASARM72,SAMN31484040,SAMN31484040,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC22,5
ASARM73,SAMN31484041,SAMN31484041,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC22,6
ASARM74,SAMN31484042,SAMN31484042,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC22,6
B128S3,SAMN31484043,SAMN31484043,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC1,6
B142S1,SAMN31484044,SAMN31484044,ISP,NC_047720.1,ST_Bin,1.0,1,True,unknown,6
DAR04181C1,SAMN31484045,SAMN31484045,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC8,4
DAR06181LC1,SAMN31484046,SAMN31484046,ISP,NC_047720.1,ST_Bin,1.0,1,True,unknown,5
DAR091813,SAMN31484047,SAMN31484047,ISP,NC_047720.1,ST_Bin,0.0,0,True,unknown,6
DEU1,SAMN31484048,SAMN31484048,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC8,6
DEU2,SAMN31484049,SAMN31484049,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC8,5
EOE003,SAMN31484056,SAMN31484056,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC30,6
EOE023,SAMN31484055,SAMN31484055,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC30,5
EOE030,SAMN31484057,SAMN31484057,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC30,6
EOE035,SAMN31484058,SAMN31484058,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC30,6
EOE041,SAMN31484059,SAMN31484059,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC30,6
EOE042,SAMN31484060,SAMN31484060,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC30,6
HU25,SAMN31484061,SAMN31484061,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC8,6
JW30866OBHY3,SAMN31484063,SAMN31484063,ISP,NC_047720.1,ST_Bin,1.0,1,True,unknown,5
JW31330LBHY2,SAMN31484064,SAMN31484064,ISP,NC_047720.1,ST_Bin,1.0,1,True,unknown,6
JW31330OBHY1,SAMN31484065,SAMN31484065,ISP,NC_047720.1,ST_Bin,1.0,1,True,unknown,5
JW32660O5,SAMN31484062,SAMN31484062,ISP,NC_047720.1,ST_Bin,1.0,1,True,unknown,4
MU1,SAMN31484066,SAMN31484066,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC8,6
MU2,SAMN31484067,SAMN31484067,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC8,6
P32,SAMN31484068,SAMN31484068,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC8,4
SAR1018S1,SAMN31484075,SAMN31484075,ISP,NC_047720.1,ST_Bin,1.0,1,True,CC8,6
SAR1218N1,SAMN31484076,SAMN31484076,ISP,NC_047720.1,ST_Bin,0.0,0,True,unknown,6
SAR1418N1,SAMN31484077,SAMN31484077,ISP,NC_047720.1,ST_Bin,1.0,1,True,unknown,5
SaTPS3026,SAMN31484069,SAMN31484069,ISP,NC_047720.1,ST_Bin,0.0,0,True,CC93,6
SaTPS3043,SAMN31484070,SAMN31484070,ISP,NC_047720.1,ST_Bin,0.0,0,True,CC30,6
SaTPS3072,SAMN31484071,SAMN31484071,ISP,NC_047720.1,ST_Bin,0.0,0,True,CC1,6
SaTPS3097,SAMN31484072,SAMN31484072,ISP,NC_047720.1,ST_Bin,0.0,0,True,CC8,6
SaTPS3104,SAMN31484073,SAMN31484073,ISP,NC_047720.1,ST_Bin,0.0,0,True,CC93,6
SaTPS3105,SAMN31484074,SAMN31484074,ISP,NC_047720.1,ST_Bin,0.0,0,True,CC93,6
USFL008,SAMN31484078,SAMN31484078,ISP,NC_047720.1,ST_Bin,0.0,0,True,CC8,6
USFL009,SAMN31484079,SAMN31484079,ISP,NC_047720.1,ST_Bin,0.0,0,True,CC8,6
USFL012,SAMN31484080,SAMN31484080,ISP,NC_047720.1,ST_Bin,0.0,0,True,CC8,6
USFL016,SAMN31484081,SAMN31484081,ISP,NC_047720.1,ST_Bin,0.0,0,True,CC8,6
USFL018,SAMN31484082,SAMN31484082,ISP,NC_047720.1,ST_Bin,0.0,0,True,CC8,6
USFL020,SAMN31484083,SAMN31484083,ISP,NC_047720.1,ST_Bin,0.0,0,True,CC8,6
