design,cc,n,n_accepted,coverage,accepted_mae
random_kfold,1,9,7,0.7777777777777778,0.09953943625862983
random_kfold,10,2,0,0.0,
random_kfold,121,12,9,0.75,0.14054558373564222
random_kfold,15,2,0,0.0,
random_kfold,22,4,4,1.0,0.12329874227358355
random_kfold,25,4,4,1.0,0.12933195334616424
random_kfold,30,23,21,0.9130434782608695,0.1423178060234149
random_kfold,398,2,2,1.0,0.17274858721330721
random_kfold,45,6,6,1.0,0.17738365397041325
random_kfold,5,88,88,1.0,0.1158142360830229
random_kfold,59,3,3,1.0,0.18691784797052458
random_kfold,72,5,5,1.0,0.09455626927953582
random_kfold,8,50,49,0.98,0.13360024600326784
random_kfold,80,1,0,0.0,
random_kfold,97,6,6,1.0,0.09149247529282167
outcome_stratified_kfold,1,9,7,0.7777777777777778,0.12455915427109489
outcome_stratified_kfold,10,2,0,0.0,
outcome_stratified_kfold,121,12,8,0.6666666666666666,0.12774849701999708
outcome_stratified_kfold,15,2,2,1.0,0.11021939126099813
outcome_stratified_kfold,22,4,4,1.0,0.10332152267330796
outcome_stratified_kfold,25,4,2,0.5,0.14453540421223643
outcome_stratified_kfold,30,23,20,0.8695652173913043,0.15827132119593101
outcome_stratified_kfold,398,2,0,0.0,
outcome_stratified_kfold,45,6,6,1.0,0.18745490058473283
outcome_stratified_kfold,5,88,87,0.9886363636363636,0.10562411875969394
outcome_stratified_kfold,59,3,3,1.0,0.15617510282952257
outcome_stratified_kfold,72,5,5,1.0,0.12797651864917023
outcome_stratified_kfold,8,50,48,0.96,0.12576893712949697
outcome_stratified_kfold,80,1,0,0.0,
outcome_stratified_kfold,97,6,6,1.0,0.0814376326764612
complete_cc_holdout,1,9,0,0.0,
complete_cc_holdout,10,2,0,0.0,
complete_cc_holdout,121,12,0,0.0,
complete_cc_holdout,15,2,0,0.0,
complete_cc_holdout,22,4,0,0.0,
complete_cc_holdout,25,4,0,0.0,
complete_cc_holdout,30,23,0,0.0,
complete_cc_holdout,398,2,0,0.0,
complete_cc_holdout,45,6,0,0.0,
complete_cc_holdout,5,88,0,0.0,
complete_cc_holdout,59,3,0,0.0,
complete_cc_holdout,72,5,0,0.0,
complete_cc_holdout,8,50,0,0.0,
complete_cc_holdout,80,1,0,0.0,
complete_cc_holdout,97,6,0,0.0,
