walsh_biosample,moller_biosample,jaccard
SAMN31484081,SAMN09847863,0.9965241571080987
SAMN31484079,SAMN09847863,0.9961779013203613
SAMN31484082,SAMN09847863,0.9954829742876998
SAMN31484078,SAMN09847863,0.9930483142161974
SAMN31484083,SAMN09847863,0.9871483153872872
SAMN31484080,SAMN09847863,0.9828001375988992
SAMN31484072,SAMN09847863,0.9786648313833448
SAMN31484028,SAMN03859745,0.977399036680252
SAMN31484033,SAMN03859745,0.9770285290848463
SAMN31484056,SAMN03859838,0.959349593495935
SAMN31484060,SAMN03859838,0.9588715159755269
SAMN31484071,SAMN03859736,0.9567024593003117
SAMN31484059,SAMN03859838,0.9566395663956639
SAMN31484043,SAMN09847848,0.9438322076075364
SAMN31484058,SAMN09847811,0.9401881720430108
SAMN31484057,SAMN09847811,0.9376675603217158
SAMN31484055,SAMN03859838,0.9346514745308311
SAMN31484041,SAMN03859763,0.9333803313359182
SAMN31484045,SAMN03859745,0.9200140944326991
SAMN31484068,SAMN02649763,0.9198728139904611
SAMN31484038,SAMN03859760,0.9119561493662213
SAMN31484070,SAMN03859794,0.906368330464716
SAMN31484042,SAMN03859760,0.9058863791923341
SAMN31484037,SAMN03859760,0.8970538435489332
SAMN31484039,SAMN03859760,0.8957915831663327
SAMN31484040,SAMN03859760,0.8951935914552737
SAMN31484048,SAMN02649763,0.8782884310618067
SAMN31484061,SAMN02649763,0.8738259236067627
SAMN31484067,SAMN02649763,0.8719898605830165
SAMN31484049,SAMN02649763,0.8662060301507538
SAMN31484064,SAMN03859820,0.678041074249605
SAMN31484063,SAMN03859820,0.6713527022805373
SAMN31484065,SAMN03859820,0.6685340802987861
SAMN31484062,SAMN03859820,0.6611265004616805
SAMN31484036,SAMN03859820,0.6588957055214724
SAMN31484034,SAMN03859799,0.655268022181146
SAMN31484035,SAMN03859799,0.6493624772313297
SAMN31484044,SAMN03859769,0.6396260554885405
SAMN31484077,SAMN03859799,0.6361474435196195
SAMN31484076,SAMN03859820,0.6324503311258278
SAMN31484047,SAMN03859797,0.6304019341190692
SAMN31484046,SAMN03859784,0.5571069533649818
SAMN31484074,SAMN03859818,0.4897251134240726
SAMN31484069,SAMN03859797,0.48773333333333335
SAMN31484073,SAMN03859797,0.4870838881491345
