host_id,biosample,assembly_accession,assembly_source,reported_st,reported_cc,genome_length,gc_fraction,contig_count,n50,ambiguous_fraction,gene_tagO_present,gene_tagO_intact,gene_tagO_copies,gene_tagA_present,gene_tagA_intact,gene_tagA_copies,gene_tagB_present,gene_tagB_intact,gene_tagB_copies,gene_tagD_present,gene_tagD_intact,gene_tagD_copies,gene_tagF_present,gene_tagF_intact,gene_tagF_copies,gene_tagG_present,gene_tagG_intact,gene_tagG_copies,gene_tagH_present,gene_tagH_intact,gene_tagH_copies,gene_tarF_present,gene_tarF_intact,gene_tarF_copies,gene_tarK_present,gene_tarK_intact,gene_tarK_copies,gene_tarL_present,gene_tarL_intact,gene_tarL_copies,gene_tarM_present,gene_tarM_intact,gene_tarM_copies,gene_tarS_present,gene_tarS_intact,gene_tarS_copies,gene_tarP_present,gene_tarP_intact,gene_tarP_copies,gene_oatA_present,gene_oatA_intact,gene_oatA_copies,gene_capA_present,gene_capA_intact,gene_capA_copies,gene_capB_present,gene_capB_intact,gene_capB_copies,gene_capC_present,gene_capC_intact,gene_capC_copies,gene_capD_present,gene_capD_intact,gene_capD_copies,gene_capE_present,gene_capE_intact,gene_capE_copies,gene_capF_present,gene_capF_intact,gene_capF_copies,gene_capG_present,gene_capG_intact,gene_capG_copies,gene_capH_present,gene_capH_intact,gene_capH_copies,gene_capI_present,gene_capI_intact,gene_capI_copies,gene_capJ_present,gene_capJ_intact,gene_capJ_copies,gene_capK_present,gene_capK_intact,gene_capK_copies,gene_capL_present,gene_capL_intact,gene_capL_copies,gene_capM_present,gene_capM_intact,gene_capM_copies,gene_capN_present,gene_capN_intact,gene_capN_copies,gene_capO_present,gene_capO_intact,gene_capO_copies,gene_capP_present,gene_capP_intact,gene_capP_copies,gene_spa_present,gene_spa_intact,gene_spa_copies,gene_clfA_present,gene_clfA_intact,gene_clfA_copies,gene_clfB_present,gene_clfB_intact,gene_clfB_copies,gene_fnbA_present,gene_fnbA_intact,gene_fnbA_copies,gene_fnbB_present,gene_fnbB_intact,gene_fnbB_copies,gene_sdrC_present,gene_sdrC_intact,gene_sdrC_copies,gene_sdrD_present,gene_sdrD_intact,gene_sdrD_copies,gene_sdrE_present,gene_sdrE_intact,gene_sdrE_copies,gene_hsdR_present,gene_hsdR_intact,gene_hsdR_copies,gene_hsdM_present,gene_hsdM_intact,gene_hsdM_copies,gene_hsdS_present,gene_hsdS_intact,gene_hsdS_copies,gene_cas1_present,gene_cas1_intact,gene_cas1_copies,gene_cas2_present,gene_cas2_intact,gene_cas2_copies,gene_cas9_present,gene_cas9_intact,gene_cas9_copies,gene_csm1_present,gene_csm1_intact,gene_csm1_copies,gene_csm3_present,gene_csm3_intact,gene_csm3_copies,hsdS_intact_allele_count,annotation_available,defensefinder_system_count,crispr_spacer_count,genomad_provirus_count,checkm2_completeness,checkm2_contamination,mlst_called_st,mlst_concordant,qc_pass,qc_reasons
13S44S9EO,SAMN31484028,ERZ26651909,ENA deposited analysis,ST-8,CC8,2675428,0.32709495452690185,49,512575,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
83254,SAMN31484033,ERZ26651962,ENA deposited analysis,ST-8,CC8,2673394,0.32695854034235133,42,545475,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
AR03918O1,SAMN31484034,ERZ26651971,ENA deposited analysis,ST-133,unknown,2699756,0.3283133735048649,37,374126,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
AR05618O1,SAMN31484036,ERZ26651996,ENA deposited analysis,ST-49,unknown,2757262,0.32789593444511256,49,200768,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
AR05S1,SAMN31484035,ERZ26651983,ENA deposited analysis,unknown,unknown,2731337,0.328023967749128,32,458148,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
ASARM61,SAMN31484037,ERZ26652006,ENA deposited analysis,ST-22,CC22,2844855,0.32685567454228776,58,222398,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
ASARM70,SAMN31484038,ERZ26652017,ENA deposited analysis,ST-22,CC22,2798055,0.32678735764665096,54,190008,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
ASARM71,SAMN31484039,ERZ26652025,ENA deposited analysis,ST-22,CC22,2918448,0.3270097668349753,67,170649,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
ASARM72,SAMN31484040,ERZ26652037,ENA deposited analysis,ST-22,CC22,2918969,0.32703156491213164,64,168304,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
ASARM73,SAMN31484041,ERZ26652046,ENA deposited analysis,ST-22,CC22,2740716,0.3274994563464438,73,176660,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
ASARM74,SAMN31484042,ERZ26652060,ENA deposited analysis,ST-22,CC22,2796034,0.3272857197015487,55,174017,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
B128S3,SAMN31484043,ERZ26652074,ENA deposited analysis,ST-188,CC1,2748901,0.32767858864324323,32,780382,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
B142S1,SAMN31484044,ERZ26652090,ENA deposited analysis,ST-692,unknown,2770097,0.327818845332853,32,506693,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
DAR04181C1,SAMN31484045,ERZ26652099,ENA deposited analysis,ST-1958,CC8,2772777,0.3273112118284305,42,364965,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
DAR06181LC1,SAMN31484046,ERZ26652106,ENA deposited analysis,ST-3237,unknown,2731657,0.32718126763352795,31,944112,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
DAR091813,SAMN31484047,ERZ26652115,ENA deposited analysis,ST-425,unknown,2752724,0.3277041214447943,31,463111,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
DEU1,SAMN31484048,ERZ26652122,ENA deposited analysis,ST-239,CC8,2886114,0.3274281611883661,81,157020,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
