host_a,host_b,biosample_a,biosample_b,reported_cc_a,reported_cc_b,same_reported_cc,sourmash_jaccard_k31_scaled1000
834N,CA26,SAMN02649746,SAMN02649748,1,5,False,0.631729667812142
834N,CA541,SAMN02649746,SAMN02649749,1,5,False,0.645292917516759
834N,EUH13,SAMN02649746,SAMN02649750,1,8,False,0.6347527865104315
834N,EUH15,SAMN02649746,SAMN02649751,1,5,False,0.651775147928994
834N,EUH25,SAMN02649746,SAMN02649752,1,8,False,0.650854449027696
834N,GA27,SAMN02649746,SAMN02649753,1,8,False,0.6490299823633157
834N,GA48963,SAMN02649746,SAMN02649754,1,5,False,0.6472140762463343
834N,GA50245,SAMN02649746,SAMN02649755,1,97,False,0.68208269525268
834N,GA50819,SAMN02649746,SAMN02649756,1,5,False,0.6496909037385928
834N,GA51254,SAMN02649746,SAMN02649757,1,8,False,0.6440431109816487
834N,GA53617,SAMN02649746,SAMN02649758,1,8,False,0.6578092707410688
834N,GA53649,SAMN02649746,SAMN02649759,1,5,False,0.6408223201174743
834N,SR1065,SAMN02649746,SAMN02649760,1,1,True,0.9603925692253767
834N,SR1129,SAMN02649746,SAMN02649761,1,8,False,0.6428157589803013
834N,SR2609,SAMN02649746,SAMN02649762,1,8,False,0.6541265675123943
834N,SR2852,SAMN02649746,SAMN02649763,1,8,False,0.5764546684709067
834N,SR3585,SAMN02649746,SAMN02649764,1,5,False,0.650456822870616
834N,SR4152,SAMN02649746,SAMN02649765,1,5,False,0.6472140762463343
834N,SR4155,SAMN02649746,SAMN02649766,1,5,False,0.656947337102053
834N,SR4156,SAMN02649746,SAMN02649767,1,5,False,0.6474904608159672
834N,CA105,SAMN02649746,SAMN02649769,1,8,False,0.6583357835930609
834N,CA11,SAMN02649746,SAMN02649770,1,5,False,0.6476106713573732
834N,CA39,SAMN02649746,SAMN02649771,1,5,False,0.6572364502680167
834N,CA436,SAMN02649746,SAMN02649772,1,5,False,0.6460099386144402
834N,CA544,SAMN02649746,SAMN02649773,1,5,False,0.652811004784689
834N,CA545,SAMN02649746,SAMN02649774,1,5,False,0.6380704794916233
834N,CA598,SAMN02649746,SAMN02649775,1,5,False,0.6413453174833285
834N,CA9,SAMN02649746,SAMN02649776,1,5,False,0.6567430782971122
834N,GA12,SAMN02649746,SAMN02649777,1,5,False,0.6591995221027479
834N,GA15,SAMN02649746,SAMN02649778,1,8,False,0.6433973240255962
834N,GA231,SAMN02649746,SAMN02649779,1,8,False,0.6489267862393414
834N,GA984,SAMN02649746,SAMN02649780,1,5,False,0.6585293242036321
834N,MN055,SAMN02649746,SAMN02649781,1,5,False,0.6472140762463343
834N,MN105,SAMN02649746,SAMN02649782,1,5,False,0.6425866588989222
834N,NY224,SAMN02649746,SAMN02649783,1,5,False,0.6463521828303546
834N,NY341,SAMN02649746,SAMN02649784,1,5,False,0.6426076833527358
834N,NY356,SAMN02649746,SAMN02649785,1,5,False,0.647854203409759
834N,NY360,SAMN02649746,SAMN02649786,1,5,False,0.6473175021987687
834N,NY417,SAMN02649746,SAMN02649787,1,5,False,0.6456140350877193
834N,NY439,SAMN02649746,SAMN02649788,1,5,False,0.6428571428571429
834N,NY593,SAMN02649746,SAMN02649789,1,5,False,0.6356812933025404
834N,SR1287,SAMN02649746,SAMN02649790,1,8,False,0.6504065040650406
834N,SR1746,SAMN02649746,SAMN02649791,1,30,False,0.43876543209876545
834N,SR2091,SAMN02649746,SAMN02649792,1,72,False,0.6827309236947792
834N,SR220,SAMN02649746,SAMN02649793,1,5,False,0.6630467571644042
834N,SR3569,SAMN02649746,SAMN02649794,1,5,False,0.6352636127917026
834N,SR3732,SAMN02649746,SAMN02649795,1,5,False,0.6454810495626823
834N,SR3777,SAMN02649746,SAMN02649796,1,5,False,0.6210905065042901
834N,SR4035,SAMN02649746,SAMN02649797,1,8,False,0.6478060046189377
834N,SR4153,SAMN02649746,SAMN02649798,1,5,False,0.6385751520417029
834N,SR4187,SAMN02649746,SAMN02649799,1,5,False,0.6438995913601868
834N,120335,SAMN02649746,SAMN02649800,1,5,False,0.649779086892489
834N,120337,SAMN02649746,SAMN02649801,1,5,False,0.6589958158995816
834N,107,SAMN02649746,SAMN02649802,1,5,False,0.6451518691588785
834N,109,SAMN02649746,SAMN02649803,1,8,False,0.6436448055716774
834N,115,SAMN02649746,SAMN02649804,1,5,False,0.6370199249205891
834N,122VISA,SAMN02649746,SAMN02649805,1,5,False,0.6393537218695903
834N,123,SAMN02649746,SAMN02649806,1,5,False,0.6418918918918919
834N,126,SAMN02649746,SAMN02649807,1,8,False,0.6491331178372025
834N,217,SAMN02649746,SAMN02649808,1,5,False,0.6507374631268437
834N,221,SAMN02649746,SAMN02649809,1,5,False,0.6712204007285975
834N,312,SAMN02649746,SAMN02649810,1,45,False,0.3951830916687147
834N,407,SAMN02649746,SAMN02649811,1,5,False,0.6463521828303546
834N,504,SAMN02649746,SAMN02649812,1,5,False,0.6414273281114012
834N,506,SAMN02649746,SAMN02649813,1,5,False,0.6359965387943467
834N,Grady1,SAMN02649746,SAMN02649814,1,1,True,0.6862625647273835
834N,120338,SAMN02649746,SAMN02649815,1,5,False,0.6520329994107248
834N,NRS021,SAMN02649746,SAMN03859721,1,8,False,0.632213608957795
834N,NRS022,SAMN02649746,SAMN03859722,1,45,False,0.39677018633540373
