walsh_biosample,moller_biosample,jaccard
SAMN31484028,SAMN02649746,0.6820719602977667
SAMN31484028,SAMN02649748,0.621159420289855
SAMN31484028,SAMN02649749,0.6308507506623491
SAMN31484028,SAMN02649750,0.8829644533869886
SAMN31484028,SAMN02649751,0.6430713857228554
SAMN31484028,SAMN02649752,0.9196927374301676
SAMN31484028,SAMN02649753,0.916782729805014
SAMN31484028,SAMN02649754,0.638038632986627
SAMN31484028,SAMN02649755,0.6908349026993095
SAMN31484028,SAMN02649756,0.6385578069129917
SAMN31484028,SAMN02649757,0.9034364261168385
SAMN31484028,SAMN02649758,0.9072343371408792
SAMN31484028,SAMN02649759,0.6403351286654698
SAMN31484028,SAMN02649760,0.6696075448737451
SAMN31484028,SAMN02649761,0.9029059829059829
SAMN31484028,SAMN02649762,0.9032478632478632
SAMN31484028,SAMN02649763,0.7370179167931977
SAMN31484028,SAMN02649764,0.6378539493293591
SAMN31484028,SAMN02649765,0.6360937963787474
SAMN31484028,SAMN02649766,0.6467751657625075
SAMN31484028,SAMN02649767,0.6373365041617123
SAMN31484028,SAMN02649769,0.9125777470628887
SAMN31484028,SAMN02649770,0.636984268328881
SAMN31484028,SAMN02649771,0.646562123039807
SAMN31484028,SAMN02649772,0.6358792184724689
SAMN31484028,SAMN02649773,0.6540573520439292
SAMN31484028,SAMN02649774,0.6270096463022508
SAMN31484028,SAMN02649775,0.6293255131964809
SAMN31484028,SAMN02649776,0.646562123039807
SAMN31484028,SAMN02649777,0.649016641452345
SAMN31484028,SAMN02649778,0.9028826355525051
SAMN31484028,SAMN02649779,0.9167537443399513
SAMN31484028,SAMN02649780,0.6458897922312556
SAMN31484028,SAMN02649781,0.6360937963787474
SAMN31484028,SAMN02649782,0.6319669713948688
SAMN31484028,SAMN02649783,0.635716404627707
SAMN31484028,SAMN02649784,0.6305563732705328
SAMN31484028,SAMN02649785,0.6372023809523809
SAMN31484028,SAMN02649786,0.6366874443455031
SAMN31484028,SAMN02649787,0.635475273911756
SAMN31484028,SAMN02649788,0.6322314049586777
SAMN31484028,SAMN02649789,0.6245983055799007
SAMN31484028,SAMN02649790,0.8989108236895847
SAMN31484028,SAMN02649791,0.43552433517310585
SAMN31484028,SAMN02649792,0.6889029402466014
SAMN31484028,SAMN02649793,0.6533170284316723
SAMN31484028,SAMN02649794,0.6246719160104987
SAMN31484028,SAMN02649795,0.63344146269537
SAMN31484028,SAMN02649796,0.6345552713839159
SAMN31484028,SAMN02649797,0.8916272788656313
SAMN31484028,SAMN02649798,0.6284457478005865
SAMN31484028,SAMN02649799,0.6337570203960982
SAMN31484028,SAMN02649800,0.639618138424821
