cohort,biosample,assembly_accession,relative_path,sha256,bases,contigs,sketch_size
moller,SAMN02649746,GCA_028468585.1,data/moller_genome_benchmark/assemblies/SAMN02649746/GCA_028468585.1_PDT001606622.1_genomic.fna.gz,d8b086a068174aadf98ebcf200782cf2f04f14f31380bd66198004f9ea121bed,2926199,33,2764
moller,SAMN02649748,ERZ4072524,data/moller_genome_benchmark/ena_assemblies/SAMN02649748/SAMN02649748.contigs.fa.gz,3028c89fafe7bc970b1455ded612367683997ac4d3fbfd23a05affddde6db68e,2962381,146,2934
moller,SAMN02649749,ERZ4072525,data/moller_genome_benchmark/ena_assemblies/SAMN02649749/SAMN02649749.contigs.fa.gz,5f96a1a7bcdd9a97d9f5f30dbaeaf6272792df8be0c3097ef82683d57f9789ff,2898746,93,2881
moller,SAMN02649750,ERZ4072526,data/moller_genome_benchmark/ena_assemblies/SAMN02649750/SAMN02649750.contigs.fa.gz,c74000e91ff2da7147647dfacbc09f15a67bf916ebb1e600fd9712a36f38d7cc,2963878,140,2956
moller,SAMN02649751,ERZ4072527,data/moller_genome_benchmark/ena_assemblies/SAMN02649751/SAMN02649751.contigs.fa.gz,ecd7d043956fbd56bb4bf641e9bfb9547ee2b4d300ebdb3c5b38214a4a8e8683,2839098,46,2819
moller,SAMN02649752,ERZ4072528,data/moller_genome_benchmark/ena_assemblies/SAMN02649752/SAMN02649752.contigs.fa.gz,426a20606f08567249a97b669fc63ce3c2259f2eee1a0dc641d7c54093bbf5cc,2822882,80,2839
moller,SAMN02649753,ERZ4072529,data/moller_genome_benchmark/ena_assemblies/SAMN02649753/SAMN02649753.contigs.fa.gz,fe1915511771017a4e10751c61132dc0963e1b97a4d90cde79f1a9af497c16cb,2842018,73,2846
moller,SAMN02649754,ERZ4072530,data/moller_genome_benchmark/ena_assemblies/SAMN02649754/SAMN02649754.contigs.fa.gz,10bcb004a70e3bc4611bee2f102e5106a281902e4b5eda372fc215c60014b43c,2873902,91,2853
moller,SAMN02649755,ERZ4072531,data/moller_genome_benchmark/ena_assemblies/SAMN02649755/SAMN02649755.contigs.fa.gz,247e20427340e2dd09fae37d7c233d0e67273bb4620bdd953a21885acfec2e29,2742356,57,2728
moller,SAMN02649756,ERZ4072532,data/moller_genome_benchmark/ena_assemblies/SAMN02649756/SAMN02649756.contigs.fa.gz,d40008aac2b097a33205355b13399a768c1d0aaa0574a9363e587d490ba029af,2852265,44,2840
